event;start_time;completion_time;arrival<incoming>;arrival<outgoing>;q1<incoming>;q1<outgoing>;r1<incoming>;r1<outgoing>
job_arrival;593.5;594.48;{'job': 97};{'job': 98};;{'job': 97};;
job_arrival;594.48;601.37;{'job': 98};{'job': 99};;{'job': 98};;
job_arrival;601.37;601.41;{'job': 99};{'job': 100};;{'job': 99};;
job_arrival;601.41;603.68;{'job': 100};{'job': 101};;{'job': 100};;
transportation;601.41;601.41;;;{'job': 95};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;601.41;601.41;;;{'job': 96};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;601.41;601.41;;;{'job': 97};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;601.41;601.41;;;{'job': 98};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;601.41;621.41;;;{'job': 99};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
job_arrival;603.68;607.85;{'job': 101};{'job': 102};;{'job': 101};;
job_arrival;607.85;611.48;{'job': 102};{'job': 103};;{'job': 102};;
job_arrival;611.48;630.14;{'job': 103};{'job': 104};;{'job': 103};;
job_arrival;630.14;645.29;{'job': 104};{'job': 105};;{'job': 104};;
transportation;630.14;630.14;;;{'job': 100};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;630.14;630.14;;;{'job': 101};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;630.14;630.14;;;{'job': 102};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;630.14;650.14;;;{'job': 103};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
job_arrival;645.29;645.49;{'job': 105};{'job': 106};;{'job': 105};;
job_arrival;645.49;647.81;{'job': 106};{'job': 107};;{'job': 106};;
job_arrival;647.81;668.57;{'job': 107};{'job': 108};;{'job': 107};;
job_arrival;668.57;668.78;{'job': 108};{'job': 109};;{'job': 108};;
job_arrival;668.78;672.71;{'job': 109};{'job': 110};;{'job': 109};;
transportation;668.78;668.78;;;{'job': 104};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;668.78;668.78;;;{'job': 105};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;668.78;668.78;;;{'job': 106};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;668.78;668.78;;;{'job': 107};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;668.78;688.78;;;{'job': 108};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
job_arrival;672.71;677.38;{'job': 110};{'job': 111};;{'job': 110};;
job_arrival;677.38;679.73;{'job': 111};{'job': 112};;{'job': 111};;
job_arrival;679.73;679.94;{'job': 112};{'job': 113};;{'job': 112};;
job_arrival;679.94;685.5;{'job': 113};{'job': 114};;{'job': 113};;
job_arrival;685.5;685.52;{'job': 114};{'job': 115};;{'job': 114};;
job_arrival;685.52;709.49;{'job': 115};{'job': 116};;{'job': 115};;
transportation;688.78;688.78;;;{'job': 109};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;688.78;688.78;;;{'job': 110};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;688.78;688.78;;;{'job': 111};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;688.78;688.78;;;{'job': 112};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;688.78;688.78;;;{'job': 113};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;688.78;708.78;;;{'job': 114};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
job_arrival;709.49;723.15;{'job': 116};{'job': 117};;{'job': 116};;
job_arrival;723.15;726.29;{'job': 117};{'job': 118};;{'job': 117};;
job_arrival;726.29;728.22;{'job': 118};{'job': 119};;{'job': 118};;
job_arrival;728.22;738.31;{'job': 119};{'job': 120};;{'job': 119};;
transportation;728.22;728.22;;;{'job': 115};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;728.22;728.22;;;{'job': 116};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;728.22;728.22;;;{'job': 117};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;728.22;748.22;;;{'job': 118};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
job_arrival;738.31;742.06;{'job': 120};{'job': 121};;{'job': 120};;
job_arrival;742.06;746.32;{'job': 121};{'job': 122};;{'job': 121};;
job_arrival;746.32;753.99;{'job': 122};{'job': 123};;{'job': 122};;
job_arrival;753.99;763.89;{'job': 123};{'job': 124};;{'job': 123};;
transportation;753.99;753.99;;;{'job': 119};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;753.99;753.99;;;{'job': 120};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;753.99;753.99;;;{'job': 121};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;753.99;773.99;;;{'job': 122};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
job_arrival;763.89;773.18;{'job': 124};{'job': 125};;{'job': 124};;
job_arrival;773.18;789.74;{'job': 125};{'job': 126};;{'job': 125};;
job_arrival;789.74;794.32;{'job': 126};{'job': 127};;{'job': 126};;
job_arrival;794.32;794.92;{'job': 127};{'job': 128};;{'job': 127};;
job_arrival;794.92;795.16;{'job': 128};{'job': 129};;{'job': 128};;
job_arrival;795.16;798.56;{'job': 129};{'job': 130};;{'job': 129};;
transportation;795.16;795.16;;;{'job': 123};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;795.16;795.16;;;{'job': 124};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;795.16;795.16;;;{'job': 125};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;795.16;795.16;;;{'job': 126};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;795.16;795.16;;;{'job': 127};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;795.16;815.16;;;{'job': 128};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
job_arrival;798.56;799.72;{'job': 130};{'job': 131};;{'job': 130};;
job_arrival;799.72;804.27;{'job': 131};{'job': 132};;{'job': 131};;
job_arrival;804.27;807.78;{'job': 132};{'job': 133};;{'job': 132};;
job_arrival;807.78;812.02;{'job': 133};{'job': 134};;{'job': 133};;
job_arrival;812.02;814.7;{'job': 134};{'job': 135};;{'job': 134};;
job_arrival;814.7;818.21;{'job': 135};{'job': 136};;{'job': 135};;
transportation;815.16;815.16;;;{'job': 129};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;815.16;815.16;;;{'job': 130};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;815.16;815.16;;;{'job': 131};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;815.16;815.16;;;{'job': 132};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;815.16;815.16;;;{'job': 133};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
transportation;815.16;835.16;;;{'job': 134};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
job_arrival;818.21;822.62;{'job': 136};{'job': 137};;{'job': 136};;
job_arrival;822.62;827.69;{'job': 137};{'job': 138};;{'job': 137};;
job_arrival;827.69;828.41;{'job': 138};{'job': 139};;{'job': 138};;
job_arrival;828.41;832.35;{'job': 139};{'job': 140};;{'job': 139};;
job_arrival;832.35;836.13;{'job': 140};{'job': 141};;{'job': 140};;
transportation;835.16;835.16;;;{'job': 135};;{'truck_id': 1, 'loading': False};{'truck_id': 1, 'loading': False}
job_arrival;836.13;852.87;{'job': 141};{'job': 142};;{'job': 141};;
