event;start_time;completion_time;arrival<incoming>;arrival<outgoing>;q1<incoming>;q1<outgoing>;r1<incoming>;r1<outgoing>;r2<incoming>;r2<outgoing>
pre_processing;503.07;508.07;{'job': 75};{'job': 76};;{'job': 75};{'machine_id': 1};{'machine_id': 1};;
processing;504.33;519.95;;;{'job': 71};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;508.07;513.07;{'job': 76};{'job': 77};;{'job': 76};{'machine_id': 1};{'machine_id': 1};;
processing;519.95;522.32;;;{'job': 72};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;519.95;524.95;{'job': 77};{'job': 78};;{'job': 77};{'machine_id': 1};{'machine_id': 1};;
processing;522.32;525.34;;;{'job': 73};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;524.95;529.95;{'job': 78};{'job': 79};;{'job': 78};{'machine_id': 1};{'machine_id': 1};;
processing;525.34;531.92;;;{'job': 74};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;529.95;534.95;{'job': 79};{'job': 80};;{'job': 79};{'machine_id': 1};{'machine_id': 1};;
processing;531.92;539.11;;;{'job': 75};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;534.95;539.95;{'job': 80};{'job': 81};;{'job': 80};{'machine_id': 1};{'machine_id': 1};;
processing;539.11;560.54;;;{'job': 76};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;539.95;544.95;{'job': 81};{'job': 82};;{'job': 81};{'machine_id': 1};{'machine_id': 1};;
processing;560.54;571.86;;;{'job': 77};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;560.54;565.54;{'job': 82};{'job': 83};;{'job': 82};{'machine_id': 1};{'machine_id': 1};;
processing;571.86;584.55;;;{'job': 78};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;571.86;576.86;{'job': 83};{'job': 84};;{'job': 83};{'machine_id': 1};{'machine_id': 1};;
processing;584.55;598.97;;;{'job': 79};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;584.55;589.55;{'job': 84};{'job': 85};;{'job': 84};{'machine_id': 1};{'machine_id': 1};;
processing;598.97;619.96;;;{'job': 80};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;598.97;603.97;{'job': 85};{'job': 86};;{'job': 85};{'machine_id': 1};{'machine_id': 1};;
processing;619.96;626.07;;;{'job': 81};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;619.96;624.96;{'job': 86};{'job': 87};;{'job': 86};{'machine_id': 1};{'machine_id': 1};;
processing;626.07;641.22;;;{'job': 82};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;626.07;631.07;{'job': 87};{'job': 88};;{'job': 87};{'machine_id': 1};{'machine_id': 1};;
processing;641.22;669.84;;;{'job': 83};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;641.22;646.22;{'job': 88};{'job': 89};;{'job': 88};{'machine_id': 1};{'machine_id': 1};;
processing;669.84;672.67;;;{'job': 84};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;669.84;674.84;{'job': 89};{'job': 90};;{'job': 89};{'machine_id': 1};{'machine_id': 1};;
processing;672.67;677.3;;;{'job': 85};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;674.84;679.84;{'job': 90};{'job': 91};;{'job': 90};{'machine_id': 1};{'machine_id': 1};;
processing;677.3;696.44;;;{'job': 86};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;679.84;684.84;{'job': 91};{'job': 92};;{'job': 91};{'machine_id': 1};{'machine_id': 1};;
processing;696.44;697.4;;;{'job': 87};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;696.44;701.44;{'job': 92};{'job': 93};;{'job': 92};{'machine_id': 1};{'machine_id': 1};;
processing;697.4;709.7;;;{'job': 88};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;701.44;706.44;{'job': 93};{'job': 94};;{'job': 93};{'machine_id': 1};{'machine_id': 1};;
processing;709.7;719.74;;;{'job': 89};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;709.7;714.7;{'job': 94};{'job': 95};;{'job': 94};{'machine_id': 1};{'machine_id': 1};;
processing;719.74;719.76;;;{'job': 90};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;719.74;724.74;{'job': 95};{'job': 96};;{'job': 95};{'machine_id': 1};{'machine_id': 1};;
processing;719.76;741.43;;;{'job': 91};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;724.74;729.74;{'job': 96};{'job': 97};;{'job': 96};{'machine_id': 1};{'machine_id': 1};;
processing;741.43;749.38;;;{'job': 92};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;741.43;746.43;{'job': 97};{'job': 98};;{'job': 97};{'machine_id': 1};{'machine_id': 1};;
processing;749.38;779.29;;;{'job': 93};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;749.38;754.38;{'job': 98};{'job': 99};;{'job': 98};{'machine_id': 1};{'machine_id': 1};;
processing;779.29;779.5;;;{'job': 94};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;779.29;784.29;{'job': 99};{'job': 100};;{'job': 99};{'machine_id': 1};{'machine_id': 1};;
processing;779.5;784.4;;;{'job': 95};;;;{'machine_id': 2};{'machine_id': 2}
pre_processing;784.29;789.29;{'job': 100};{'job': 101};;{'job': 100};{'machine_id': 1};{'machine_id': 1};;
